[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7394
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7435
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7435
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7477
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7477
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7519
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7519
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7560
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7560
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7602
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7602
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7643
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7643
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7685
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7685
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7727
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7727
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7768
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7768
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7810
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7810
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7852
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7852
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7893
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7893
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7935
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7935
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.7977
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.7977
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.8018
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.8018
[0] 0x0000    7.633   15.130    7.277:   122.06     1.19   -86.81 1627334607.8060
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.98 1627334607.8060
